Basins,Hydrological Feature,Number,Area(sq. km)
Koshi,Glaciers,845.0,11.03
Gandaki,Glaciers,1340.0,16.65
Karnali,Glaciers,1459.0,10.23
Mahakali,Glaciers,164.0,1.125
Koshi,Glacial Lakes,599.0,0.26
Gandaki,Glacial Lakes,116.0,0.09538
Karnali,Glacial Lakes,742.0,0.29147
Mahakali,Glacial Lakes,9.0,0.0013700000000000001
